"SKU";"ean";"nazwa";"kategoria";"cena"
"DEMO-ELE-001";"5706991028652";"Jabra Evolve2 30 SE MS Stereo USB-A";"Peripherals / Headsets";"143.00"
"DEMO-ELE-002";"6935364010041";"Hub TP-LINK UH720 (7x USB 3.0; kolor czarny)";"Peripherals / USB hubs";"91.91"
"DEMO-ELE-003";"619659184704";"Dysk zewnętrzny SSD SanDisk Extreme Portable (4TB; USB 3.2; 1050 MB/s; SDSSDE61-4T00-G25)";"Storage / External drives";"791.56"
"DEMO-ELE-004";"840006676652";"Pamięć Corsair Vengeance RGB, DDR5, 96 GB, 6000MHz, CL30";"Components / DDR5 memory";"654.23"
"DEMO-ELE-005";"5903018664637";"Mikrofon ENDORFY AXIS Streaming";"Peripherals / Microphones";"244.16"
"DEMO-ELE-006";"740617296075";"KINGSTON DDR4 4GB 3200MT/s CL22 DIMM";"Components / DDR4 memory";"41.60"
"DEMO-ELE-007";"835168003491";"Karta graficzna INNO3D GeForce RTX 4060 Ti TWIN X2 OC WHITE 16GB GDDR6 DLSS 3";"Components / Graphics cards";"1098.07"
"DEMO-ELE-008";"5907683603793";"Zasilacz UPS EVER SINLINE RT XL 2250 (2250VA) (W/SRTXRT-002K25/00)";"Power / UPS units";"2933.22"
"DEMO-ELE-009";"4711387808856";"Obudowa Asus A31 PLUS TG ARGB BLACK";"Components / PC cases";"211.96"
"DEMO-ELE-010";"4713218461933";"Karta pamięci ADATA PREMIER AUSDX64GUICL10A1-RA1 (64GB; Class 10; Adapter)";"Storage / SD cards";"10.26"
"DEMO-ELE-011";"198156692146";"Lenovo Legion Pro 7 16IAX10H Ultra 9 275HX 16"" WQXGA OLED 500nits Glossy 240Hz 64GB DDR5 400 2xSSD1TB GeForce RTX 5080 16GB Win11 Eclipse Black";"Computers / Gaming laptops";"8869.07"
"DEMO-ELE-012";"6941764464650";"realme GT 7T 5G Dual Sim 12/256GB Black";"Mobile / Android smartphones";"857.25"
"DEMO-ELE-013";"5903719145060";"Dell Latitude L14 Core i5 1350P 14"" WUXGA Touch AG 16GB SSD1TB BT BLKB W11Pro Titan Gray (REPACK) 2Y";"Computers / Laptops";"2640.70"
"DEMO-ELE-014";"740617310740";"KINGSTON HyperX Predator RGB DDR4 2x8GB 4266MHz CL19 XMP";"Components / DDR4 memory";"351.96"
"DEMO-ELE-015";"4711387701133";"Obudowa ASUS A23 Plus ARGB black";"Components / PC cases";"177.47"
"DEMO-ELE-016";"4711421846707";"Klawiatura membranowa A4 TECH KV-300H A4TKLA39976 (USB 2.0; (US); kolor czarny)";"Peripherals / Keyboards";"77.37"
"DEMO-ELE-017";"766623545013";"INTELLINET MODUŁ MINI-GBIC SFP 1000BASE-LX LC JEDNOMODOWY 1310NM 545013";"Networking / Switch modules";"34.40"
"DEMO-ELE-018";"4711605285896";"Access Point PLANET WDAP-850AC";"Networking / Access points";"456.25"
"DEMO-ELE-019";"4712702646450";"Pendrive Silicon Power Blaze B02 16GB USB 3.1 kolor czarny (SP016GBUF3B02V1K)";"Storage / USB flash drives";"8.69"
"DEMO-ELE-020";"4897033788632";"AFOX SO-DIMM DDR4 8G 2400MHZ MICRON CHIP AFSD48EH1P";"Components / SO-DIMM memory";"58.69"
"DEMO-ELE-021";"5908267964880";"SSD GOODRAM CX400 Gen. 2 2TB SATA III 2,5 RETAIL";"Storage / SSD drives";"245.87"
"DEMO-ELE-022";"843367132232";"Dysk SSD Lexar LNQ790 4TB M.2 PCIe NVMe";"Storage / SSD drives";"681.94"
"DEMO-ELE-023";"6939554913044";"Dahua PFT1300 Przedłużacz PoE";"Security / CCTV accessories";"49.41"
"DEMO-ELE-024";"718037869476";"Dysk zewnętrzny HDD WD My Passport (2TB; 2.5""; USB 3.2 Gen 1; Czarny; WDBYVG0020BBK-WESN)";"Storage / External drives";"200.78"
"DEMO-ELE-025";"8806095412566";"MONITOR SAMSUNG G5 LED 32"" LS32DG500EUXEN 180Hz";"Displays / Gaming monitors";"621.63"
