"SKU";"ean";"nazwa";"kategoria";"cena"
"DEMO-KUC-001";"6934177775345";"Oczyszczacz Xiaomi Smart Air Purifier 4 Compact";"Appliances / Air purifiers";"185.22"
"DEMO-KUC-002";"4242002813820";"Kuchenka mikrofalowa BOSCH BFR634GW1 (900W; 21l; kolor biały)";"Appliances / Built-in microwaves";"1682.65"
"DEMO-KUC-003";"5901750504617";"Toster Blaupunkt TSS802WH, 900W, biały";"Appliances / Toasters";"123.95"
"DEMO-KUC-004";"8594049738533";"Lokówko-suszarka niebieska KF1310 CONCEPT";"Personal care / Hair dryers";"61.68"
"DEMO-KUC-005";"5903151001702";"Lodówka Sam Cook Multi Door PSC-WG-1010/B czarna";"Appliances / Freestanding fridges";"1565.99"
"DEMO-KUC-006";"5902022183769";"Suszarka do włosów Łucznik HD-212 (czekolad, złoty)";"Personal care / Hair dryers";"28.72"
"DEMO-KUC-007";"7332543670246";"Okap ELECTROLUX LFV619K";"Appliances / Cooker hoods";"1089.50"
"DEMO-KUC-008";"4242005424122";"Zmywarka BOSCH SPS2HKW58E (WYPRZEDAŻ)";"Appliances / Freestanding dishwashers";"1175.69"
"DEMO-KUC-009";"8006363028899";"Bialetti kawiarka New Venus 4tz";"Appliances / Coffee makers";"68.79"
"DEMO-KUC-010";"4242005394364";"Płyta indukcyjna BOSCH PVS775HC1E";"Appliances / Built-in hobs";"897.84"
"DEMO-KUC-011";"4242002439853";"Mikser ręczny BOSCH MFQ 3030 (350W; kolor biały)";"Appliances / Blenders";"50.22"
"DEMO-KUC-012";"5906006712785";"Lodówka Amica Retro FK2965.3RAA (550mm x 1810mm x 615 mm; 181 l; Klasa A++; kolor czerwony)";"Appliances / Freestanding fridges";"1561.29"
"DEMO-KUC-013";"7090019823830";"Grzejnik konwekcyjny Mill CO1200WIFI3 Biały";"Appliances / Convector heaters";"311.08"
"DEMO-KUC-014";"4054278880761";"Mop elektryczny KARCHER FC4-4 1.056-400.0 Battery Set";"Appliances / Steam mops";"400.49"
"DEMO-KUC-015";"622356242868";"SHARK ODKURZACZ ICZ300EUT";"Appliances / Vacuum cleaners";"687.46"
"DEMO-KUC-016";"5908269349906";"Maszynka do mięsa  ZELMER ZMM9801B (WYPRZEDAŻ)";"Appliances / Meat grinders";"253.58"
"DEMO-KUC-017";"5901299963746";"ESPERANZA KUCHENKA ELEKTRYCZNA COTOPAXI CZARNA EKH010K";"Appliances / Cookers";"26.84"
"DEMO-KUC-018";"8050147645017";"Pralka HOTPOINT NM11 846 WS A EU N";"Appliances / Freestanding washing machines";"1169.01"
"DEMO-KUC-019";"8023277158351";"Suszarka do włosów GA.MA PH6080.PK IQ3 PERFETTO";"Personal care / Hair dryers";"457.49"
"DEMO-KUC-020";"5907642751534";"Nóż santoku Santoku Kohersen Elegance Ebony Wood 12,7cm";"Kitchen / Cutlery and utensils";"98.27"
"DEMO-KUC-021";"5905575901774";"Maszynka do strzyżenia ADLER AD 2944";"Personal care / Hair clippers";"58.25"
"DEMO-KUC-022";"4210201304685";"Szczoteczka soniczna Oral-B Pulsonic Slim Clean 2000";"Personal care / Electric toothbrushes";"123.37"
"DEMO-KUC-023";"4242005280346";"Płyta ceramiczna BOSCH PKE611FP2E";"Appliances / Built-in hobs";"453.24"
"DEMO-KUC-024";"4820096551370";"Czajnik elektryczny MAESTRO MR-012 biało-pomarańcz.";"Appliances / Electric kettles";"27.77"
"DEMO-KUC-025";"5903151033444";"Krajalnica MPM MKR-05 biała";"Appliances / Food slicers";"66.50"
