"SKU";"ean";"nazwa";"kategoria";"cena"
"DEMO-ZAB-001";"3296580370085";"ANIME HEROES ONE PIECE - MONKEY D. LUFFY RENEWAL";"Toys / Collectible figures";"221.44"
"DEMO-ZAB-002";"4573102610638";"ENTRY GRADE MY HERO ACADEMIA IZUKU MIDORIYA";"Toys / Collectible figures";"155.28"
"DEMO-ZAB-003";"5702016109788";"LEGO City 60197 Pociąg pasażerski";"Toys / Building blocks";"1522.52"
"DEMO-ZAB-004";"5702017424941";"LEGO Disney 43225 Królewska muszla Małej Syrenki";"Toys / Building blocks";"1205.26"
"DEMO-ZAB-005";"5702017424873";"LEGO Disney Classic 43220 Książka z przygodami Piotrusia Pana i Wendy";"Toys / Building blocks";"132.48"
"DEMO-ZAB-006";"4983164194593";"DEMON SLAYER: KIMETSU NO YAIBA - MURATA VOL.27";"Toys / Collectible figures";"166.58"
"DEMO-ZAB-007";"5702017189994";"LEGO Harry Potter 76408 Ulica Grimmauld Place 12 (WYPRZEDAŻ)";"Toys / Building blocks";"880.22"
"DEMO-ZAB-008";"4573102616623";"1/100 FULL MECHANICS CALAMITY GUNDAM (WYPRZEDAŻ)";"Toys / Collectible figures";"389.63"
"DEMO-ZAB-009";"5702017189185";"LEGO ICONS 10309 Sukulenty";"Toys / Building blocks";"476.56"
"DEMO-ZAB-010";"5702017815817";"LEGO NINJAGO 71848 THE TEMPLE BOUNTY";"Toys / Building blocks";"1296.40"
"DEMO-ZAB-011";"5702017815350";"LEGO FRIENDS 42672 Kreatywna walizka plażowa";"Toys / Building blocks";"192.74"
"DEMO-ZAB-012";"5702017161884";"LEGO City 60312 Radiowóz";"Toys / Building blocks";"63.27"
"DEMO-ZAB-013";"5702016914177";"LEGO Icons 10281 Drzewko bonsai";"Toys / Building blocks";"329.41"
"DEMO-ZAB-014";"4573102609519";"HGBD 1/144 MOMOKAPOOL";"Toys / Collectible figures";"168.11"
"DEMO-ZAB-015";"5702017589350";"LEGO 42615 Friends Dzień Adopcji Zwierząt";"Toys / Building blocks";"363.99"
"DEMO-ZAB-016";"8436605115269";"MINIX - MICHAEL JACKSON THRILLER";"Toys / Collectible figures";"112.95"
"DEMO-ZAB-017";"7290117588932";"STUMBLE GUYS S2 FEATURE PLUSH 25 cm - MR. STUMBLE";"Toys / Collectible figures";"149.68"
"DEMO-ZAB-018";"324472763110";"Rowerek Biegowy HUFFY 12"" Princess";"Toys / Kids bicycles";"532.04"
"DEMO-ZAB-019";"4573102582621";"HGUC 1/144 MS-06FZ ZAKU II FZ";"Toys / Collectible figures";"124.64"
"DEMO-ZAB-020";"3296580429875";"TAMAGOTCHI - PRETTY PARTY";"Toys / Collectible figures";"148.99"
"DEMO-ZAB-021";"5702017583150";"LEGO Harry Potter 76435 Zamek Hogwart™: Wielka Sala";"Toys / Building blocks";"1318.48"
"DEMO-ZAB-022";"8422084001957";"Rowerek biegowy 10"" Świnka Peppa różowy 195";"Toys / Kids bicycles";"445.98"
"DEMO-ZAB-023";"5702017784786";"LEGO MINIFIGURES 71048 seria 27";"Toys / Building blocks";"29.23"
"DEMO-ZAB-024";"5702017241937";"LEGO 40573 Choinka";"Toys / Building blocks";"298.72"
"DEMO-ZAB-025";"5702017817873";"LEGO MARVEL SUPER HEROES 76314 Kapitan Ameryka: Wojna bohaterów — bitwa";"Toys / Building blocks";"619.68"
